iter	RMSE
0	0.6921907356
1	0.6866528148
2	0.6819320316
3	0.6763637417
4	0.6707730058
5	0.6655940692
6	0.6599790751
7	0.6553996401
8	0.6507410702
9	0.6464616349
10	0.6425789378
11	0.6390858021
12	0.6361131439
13	0.6327499763
14	0.6292594846
15	0.6266030436
16	0.6227628848
17	0.6205649302
18	0.6176710139
19	0.6147940132
20	0.6124089413
21	0.6093249003
22	0.6070757322
23	0.6046644258
24	0.6025817877
25	0.6006384935
26	0.5987732268
27	0.5970429866
28	0.595198846
29	0.5938365537
30	0.5929853464
31	0.5910830727
32	0.5899376187
33	0.5885994454
34	0.5874830347
35	0.5865729083
36	0.584646644
37	0.5833218632
38	0.5825438473
39	0.5818046804
40	0.5807990462
41	0.5792703512
42	0.5783075254
43	0.5776100637
44	0.5764856949
45	0.5757433766
46	0.5746665135
47	0.5739963438
48	0.5734977803
49	0.5721780295
50	0.5714550523
51	0.5701702671
52	0.5688568311
53	0.5683351781
54	0.5675939696
55	0.5670121509
56	0.5665018254
57	0.5653282575
58	0.5644882639
59	0.5635551093
60	0.5630625714
61	0.5621620677
62	0.5617096745
63	0.5609924694
64	0.5602047319
65	0.5598624786
66	0.5591787745
67	0.558440613
68	0.557488856
69	0.5568927509
70	0.556187688
71	0.5555360276
72	0.5550957588
73	0.5546470254
74	0.5539978489
75	0.5533996551
76	0.5529643119
77	0.5527295863
78	0.5523999005
79	0.5518745056
80	0.5513575415
81	0.550671307
82	0.5499961368
83	0.54949919
84	0.5489790294
85	0.5477531728
86	0.5472943517
87	0.5470437421
88	0.5462996076
89	0.5459228881
90	0.5452001654
91	0.5449211949
92	0.5442846424
93	0.5440856139
94	0.5436589659
95	0.5428965467
96	0.54227584
97	0.5414244152
98	0.5409705156
99	0.5404089179
100	0.5399310317
101	0.5397264282
102	0.5392337913
103	0.5386131251
104	0.5382194212
105	0.5377383613
106	0.5371825303
107	0.5364542457
108	0.5362539212
109	0.5357191429
110	0.5350776947
111	0.534700253
112	0.5339833092
113	0.5335830508
114	0.5328481564
115	0.532523328
116	0.5321144379
117	0.5318275152
118	0.5314556997
119	0.5309958812
120	0.5307123327
121	0.5304604945
122	0.5300770092
123	0.5298569717
124	0.5294012663
125	0.5289049229
126	0.5283989142
127	0.5279965151
128	0.5276719785
129	0.5274624522
130	0.5271089935
131	0.5264160969
132	0.5259961471
133	0.5255369133
134	0.5253669171
135	0.525087975
136	0.5247773632
137	0.5244103608
138	0.5237405889
139	0.5234159683
140	0.5230167831
141	0.522721466
142	0.5225058146
143	0.5215909434
144	0.5212934657
145	0.5209640152
146	0.5205583473
147	0.5201883221
148	0.5197912215
149	0.519227581
150	0.5185587819
151	0.5183402778
152	0.5178856651
153	0.5172906892
154	0.5171292917
155	0.5168993935
156	0.5165604492
157	0.5163039342
158	0.5158104114
159	0.5154280096
160	0.5149930237
161	0.5144441791
162	0.514096482
163	0.5137539643
164	0.5134648288
165	0.5131027987
166	0.5126830943
167	0.5124235888
168	0.5120353574
169	0.5117398812
170	0.511352514
171	0.5109506469
172	0.5107155359
173	0.5102270228
174	0.5096028831
175	0.5093321607
176	0.5091536233
177	0.508694842
178	0.5079115352
179	0.5076571212
180	0.5072495304
181	0.5069604556
182	0.5067029853
183	0.5063456527
184	0.5059007188
185	0.504983843
186	0.5043387892
187	0.5036672273
188	0.5032811726
189	0.5028420842
190	0.5025064715
191	0.5020272572
192	0.5017150704
193	0.5016575877
194	0.5010182817
195	0.5003457463
196	0.4994724235
197	0.4991202697
198	0.4986779621
199	0.4981395268
200	0.4975504966
201	0.4969333893
202	0.4962590824
203	0.4959156334
204	0.4955558402
205	0.4952985532
206	0.494824618
207	0.4947667659
208	0.4943309082
209	0.4941524762
210	0.4941001377
211	0.4936982313
212	0.4932481666
213	0.4923619413
214	0.4920117291
215	0.4918867363
216	0.4911918422
217	0.4907312482
218	0.4905396608
219	0.4902748947
220	0.4901696516
221	0.4897042712
222	0.4889618488
223	0.4887279492
224	0.4886459323
225	0.488289684
226	0.4878240041
227	0.4875967277
228	0.4872301844
229	0.4868416875
230	0.4867983027
231	0.4863616386
232	0.4857612593
233	0.4850624572
234	0.4844725978
235	0.4841360851
236	0.4831796823
237	0.4822976563
238	0.4818864582
239	0.4815555325
240	0.4810239604
241	0.4805380301
242	0.479958559
243	0.4796129546
244	0.4793376827
245	0.4788198222
246	0.4784165836
247	0.4777375065
248	0.4775172118
249	0.4771817665
250	0.4766918987
251	0.4760683779
252	0.4760286389
253	0.4758429394
254	0.4758046459
255	0.4752710877
256	0.4749788702
257	0.4744536795
258	0.4737745833
259	0.473251454
260	0.472889946
261	0.4720521481
262	0.4714604855
263	0.4709318183
264	0.4704959092
265	0.470033367
266	0.4694537768
267	0.4691903416
268	0.4687020101
269	0.4682351878
270	0.4679415251
271	0.4672662481
272	0.4668150304
273	0.4662388255
274	0.4657697911
275	0.4652143015
276	0.4649676149
277	0.4646690396
278	0.4641998099
279	0.4639871239
280	0.4636916874
281	0.4632790485
282	0.4630807056
283	0.4627099397
284	0.4622169288
285	0.4615714409
286	0.4612863924
287	0.4607231891
288	0.4601199741
289	0.459554874
290	0.4589726266
291	0.4584690428
292	0.4584275754
293	0.4582416913
294	0.4578777336
295	0.4574853673
296	0.4572187804
297	0.4567146755
298	0.4564513581
299	0.4561433303
300	0.4556527351
301	0.4553007624
302	0.4549356882
303	0.4545962128
304	0.4543898268
305	0.4543500412
306	0.4541465169
307	0.4538344616
308	0.4531945835
309	0.4529566373
310	0.452227659
311	0.4518362371
312	0.4513202659
313	0.4507272552
314	0.4504777502
315	0.4500628993
316	0.4497922914
317	0.4494658603
318	0.4491909599
319	0.4491514759
320	0.4491083594
321	0.4490462171
322	0.4486585613
323	0.4481960263
324	0.4481143968
325	0.4478271103
326	0.4475223672
327	0.4471683073
328	0.4464086161
329	0.4458002422
330	0.4453583697
331	0.4449186252
332	0.4446177098
333	0.4445865913
334	0.4441870807
335	0.4437434985
336	0.4431422783
337	0.4425836789
338	0.442139518
339	0.4418694978
340	0.4415082968
341	0.4411107761
342	0.4407925948
343	0.4406121655
344	0.4402475663
345	0.4397267604
346	0.43939004
347	0.4389860844
348	0.4388378976
349	0.4387133583
350	0.4384142647
351	0.4379127381
352	0.4377633974
353	0.437509269
354	0.4366904142
355	0.4361646332
356	0.4356884795
357	0.4352840079
358	0.4349902461
359	0.4345718779
360	0.4342616583
361	0.4337262578
362	0.4336852101
363	0.4336545319
364	0.4332406975
365	0.4326555281
366	0.4324511524
367	0.4319471588
368	0.4315023647
369	0.4310392427
370	0.4306906234
371	0.4305956344
372	0.43056702
373	0.4304140192
374	0.4303445643
375	0.4299715066
376	0.4296338428
377	0.4291234137
378	0.4290931483
379	0.4290640304
380	0.4287205205
381	0.428310185
382	0.4282856723
383	0.4277659944
384	0.4274098084
385	0.4269157768
386	0.4264012111
387	0.4260795269
388	0.425683005
389	0.4252597117
390	0.4246677168
391	0.4239302457
392	0.4236067616
393	0.4233528999
394	0.4231713234
395	0.4227474298
396	0.422324518
397	0.4218058792
398	0.4214239742
399	0.4208313064
400	0.4205114629
401	0.4200116438
402	0.4195533715
403	0.4189858013
404	0.4184504107
405	0.4178236116
406	0.4175290362
407	0.4173100604
408	0.4169325879
409	0.4164755542
410	0.4161568064
411	0.4160147004
412	0.415540013
413	0.4153162681
414	0.4147441847
415	0.4144438652
416	0.4141559153
417	0.4136685167
418	0.4131675421
419	0.4128156024
420	0.4123965758
421	0.4119376097
422	0.4115963156
423	0.4111093331
424	0.4110879209
425	0.4106663939
426	0.4102168211
427	0.4096869818
428	0.4096530937
429	0.409131777
430	0.4087728328
431	0.4084838402
432	0.4081332856
433	0.4077357603
434	0.4073498856
435	0.407208752
436	0.4067728625
437	0.406452427
438	0.4059983974
439	0.4053326229
440	0.4050861907
441	0.4047078849
442	0.4043448656
443	0.4042302447
444	0.4039422173
445	0.4039201015
446	0.4032480717
447	0.4027630244
448	0.4027315261
449	0.4023367867
450	0.4017972332
451	0.4015663872
452	0.4012747794
453	0.4012550302
454	0.4012319596
455	0.4007809795
456	0.4004383676
457	0.4002314469
458	0.3998455149
459	0.3998172213
460	0.3996423699
461	0.3993606931
462	0.3989535154
463	0.3987411366
464	0.3984485637
