iter	Passed	Remaining
0	15	15584
1	28	14246
2	41	13806
3	54	13521
4	68	13550
5	82	13631
6	95	13549
7	108	13430
8	121	13385
9	134	13353
10	148	13344
11	161	13332
12	175	13302
13	195	13743
14	211	13919
15	242	14895
16	270	15654
17	302	16497
18	328	16980
19	358	17563
20	373	17417
21	411	18309
22	455	19355
23	470	19146
24	495	19306
25	509	19073
26	522	18820
27	536	18615
28	548	18381
29	562	18193
30	575	17995
31	588	17806
32	601	17631
33	613	17444
34	627	17300
35	641	17167
36	653	17019
37	666	16870
38	678	16722
39	691	16594
40	704	16480
41	716	16344
42	729	16238
43	742	16137
44	755	16037
45	768	15941
46	779	15815
47	792	15720
48	805	15628
49	819	15575
50	832	15485
51	843	15374
52	855	15294
53	869	15225
54	887	15241
55	901	15200
56	913	15105
57	924	15021
58	940	15003
59	954	14961
60	968	14910
61	981	14842
62	994	14786
63	1007	14731
64	1021	14695
65	1033	14631
66	1046	14570
67	1057	14494
68	1069	14424
69	1080	14360
70	1092	14288
71	1103	14219
72	1114	14154
73	1126	14092
74	1139	14054
75	1152	14011
76	1165	13966
77	1177	13923
78	1191	13889
79	1205	13862
80	1218	13825
81	1231	13785
82	1244	13750
83	1257	13707
84	1269	13666
85	1283	13638
86	1296	13601
87	1308	13558
88	1323	13543
89	1337	13523
90	1354	13533
91	1371	13537
92	1387	13535
93	1401	13503
94	1413	13465
95	1425	13425
96	1437	13379
97	1450	13348
98	1464	13329
99	1477	13293
100	1488	13247
101	1501	13216
102	1514	13187
103	1528	13169
104	1542	13151
105	1555	13115
106	1568	13092
107	1582	13072
108	1596	13046
109	1608	13014
110	1626	13026
111	1638	12991
112	1652	12971
113	1667	12958
114	1681	12940
115	1694	12915
116	1708	12893
117	1723	12880
118	1736	12854
119	1751	12845
120	1768	12848
121	1784	12843
122	1800	12836
123	1818	12845
124	1838	12866
125	1856	12875
126	1873	12876
127	1887	12859
128	1900	12835
129	1914	12815
130	1930	12809
131	1945	12793
132	1959	12772
133	1973	12751
134	1986	12731
135	1999	12701
136	2014	12689
137	2028	12669
138	2042	12650
139	2057	12636
140	2069	12610
141	2082	12584
142	2096	12563
143	2110	12544
144	2122	12518
145	2136	12494
146	2147	12462
147	2160	12440
148	2173	12414
149	2186	12390
150	2198	12361
151	2210	12333
152	2223	12310
153	2237	12291
154	2249	12263
155	2262	12238
156	2277	12230
157	2291	12212
158	2305	12196
159	2320	12182
160	2335	12170
161	2351	12165
162	2368	12163
163	2383	12149
164	2397	12132
165	2412	12119
166	2427	12107
167	2442	12096
168	2457	12083
169	2474	12079
170	2492	12081
171	2511	12091
172	2529	12091
173	2545	12084
174	2564	12088
175	2583	12097
176	2601	12098
177	2619	12095
178	2640	12112
179	2657	12107
180	2677	12113
181	2693	12108
182	2710	12103
183	2727	12097
184	2743	12086
185	2759	12076
186	2775	12068
187	2792	12059
188	2810	12058
189	2825	12046
190	2850	12074
191	2891	12167
192	2917	12197
193	2935	12196
194	2954	12198
195	2988	12257
196	3007	12257
197	3030	12275
198	3051	12283
199	3071	12287
200	3093	12296
201	3114	12303
202	3134	12306
203	3155	12310
204	3173	12307
205	3191	12302
206	3209	12296
207	3227	12289
208	3244	12278
209	3261	12268
210	3277	12257
211	3296	12252
212	3313	12243
213	3331	12237
214	3349	12227
215	3365	12216
216	3382	12206
217	3400	12198
218	3418	12192
219	3436	12182
220	3452	12170
221	3469	12159
222	3488	12153
223	3505	12145
224	3523	12137
225	3540	12125
226	3557	12114
227	3574	12103
228	3591	12092
229	3609	12083
230	3625	12069
231	3642	12057
232	3658	12042
233	3674	12027
234	3690	12013
235	3706	12000
236	3724	11989
237	3741	11979
238	3759	11970
239	3776	11960
240	3796	11956
241	3815	11952
242	3837	11954
243	3861	11963
244	3884	11969
245	3906	11975
246	3931	11985
247	3954	11989
248	3972	11981
249	3992	11978
250	4013	11976
251	4033	11972
252	4051	11963
253	4070	11955
254	4089	11948
255	4108	11939
256	4129	11937
257	4148	11930
258	4167	11923
259	4190	11926
260	4209	11920
261	4230	11915
262	4253	11919
263	4274	11915
264	4294	11910
265	4316	11911
266	4337	11906
267	4359	11908
268	4381	11907
269	4402	11902
270	4424	11901
271	4449	11908
272	4473	11912
273	4494	11909
274	4520	11917
275	4541	11913
276	4561	11905
277	4582	11900
278	4601	11892
279	4621	11885
280	4640	11873
281	4658	11861
282	4680	11858
283	4700	11850
284	4718	11837
285	4736	11824
286	4754	11811
287	4773	11801
288	4792	11789
289	4809	11774
290	4826	11760
291	4843	11744
292	4863	11735
293	4883	11726
294	4902	11716
295	4920	11702
296	4937	11687
297	4953	11669
298	4971	11656
299	4988	11640
300	5005	11624
301	5021	11606
302	5038	11589
303	5054	11573
304	5071	11555
305	5088	11541
306	5113	11542
307	5168	11612
308	5201	11631
309	5234	11650
310	5262	11659
311	5285	11656
312	5306	11646
313	5326	11636
314	5347	11628
315	5367	11619
316	5407	11651
317	5431	11647
318	5461	11658
319	5496	11680
320	5539	11718
321	5577	11743
322	5604	11746
323	5627	11740
324	5647	11728
325	5670	11724
326	5693	11717
327	5716	11711
328	5750	11729
329	5773	11721
330	5795	11713
331	5820	11710
332	5848	11715
333	5886	11737
334	5918	11749
335	5955	11769
336	5985	11775
337	6043	11837
338	6078	11852
339	6117	11876
340	6147	11879
341	6175	11881
342	6204	11884
343	6226	11874
344	6256	11877
345	6279	11868
346	6302	11860
347	6326	11853
348	6352	11850
349	6376	11841
350	6398	11831
351	6421	11822
352	6449	11820
353	6475	11817
354	6503	11816
355	6533	11818
356	6563	11822
357	6596	11828
358	6622	11824
359	6656	11833
360	6678	11821
361	6698	11806
362	6720	11793
363	6756	11804
364	6788	11810
365	6811	11798
366	6834	11787
367	6871	11801
368	6905	11807
369	6927	11796
370	6956	11794
